utterance_id,utterance,gold_positive,pred_positive,gold_negative,pred_negative,gold_correction,pred_correction,schema_valid,forbidden,conflict,primary_cause,secondary_causes,linguistic_patterns,review_notes
case-hard-neg-11-dev-011,robot süpürge değil dikey süpürge olsun,süpürge,süpürge|dikey,,robot,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-neg-13-dev-013,smart tv değil normal tv,televizyon,televizyon,,smart tv,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-neg-19-dev-019,gopro değil dslr arıyorum,kamera,kamera,,gopro,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-neg-25-dev-025,dslr değil aksiyon kamerası,kamera,akşyon kamerası,,dslr,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,CORRECTION_X_NOT_Y,
case-hard-neg-27-dev-027,hoparlör değil kulaklık,kulaklık,kulaklık,,hoparlör,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-neg-29-dev-029,smart tv istemiyorum sadece görüntü kalitesi,televizyon,televizyon,,smart tv,False,False,True,False,False,MODEL_OVER_EXTRACT,,NEG_SIMPLE,
case-hard-neg-31-dev-031,xbox değil ps5 arıyorum,oyun konsolu,konsol,,xbox,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,CORRECTION_X_NOT_Y,
case-hard-neg-33-dev-033,blender değil tost makinesi,kahve makinesi,tost makinesi,,blender,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,CORRECTION_X_NOT_Y,
case-hard-neg-35-dev-035,normal bisiklet değil e-bike,bisiklet,bisiklet,,bisiklet,False,False,True,False,True,MODEL_CONFLICT,MODEL_OVER_EXTRACT,CORRECTION_X_NOT_Y,
case-hard-neg-37-dev-037,fitness bileklik değil smartwatch,akıllı saat,akıllı saat,,fitness bileklik,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-neg-39-dev-039,çamaşır makinesi değil bulaşık makinesi,beyaz eşya,makine,,çamaşır makinesi,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,CORRECTION_X_NOT_Y,
case-hard-neg-43-dev-043,bisiklet değil scooter... aslında bisiklet olsun,bisiklet,bisiklet,,scooter,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-neg-45-dev-045,gardırop değil komodin bakıyorum,mobilya,mobilya,,,False,False,True,False,False,,,CORRECTION_X_NOT_Y,
case-hard-neg-53-dev-053,robot süpürge lazım değil dikey süpürge olur,süpürge,süpürge,,,False,False,True,False,False,,,CORRECTION_X_NOT_Y,
case-hard-neg-55-dev-055,smart tv değil sadece büyük ekran tv,televizyon,televizyon,,smart,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-corr-03-dev-003,üzgünüm önce laptop dedim ama masaüstü lazım,masaüstü,masaüstü,laptop,laptop,True,False,True,False,False,MODEL_CORR_MISS,,,
case-hard-corr-06-dev-006,aslında beyaz eşya değil mobilya diyecektim,mobilya,mobilya,beyaz eşya,,True,False,True,False,False,MODEL_CORR_MISS,MODEL_NEG_MISS,CORRECTION_X_NOT_Y,
case-hard-corr-09-dev-009,hayır bisiklet değil scooter... aslında bisiklet,bisiklet,bisiklet,,scooter,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-corr-12-dev-012,hayır ipad dedim iphone demedim,tablet,tablet,telefon,,True,False,True,False,False,MODEL_CORR_MISS,MODEL_NEG_MISS,,
case-hard-corr-15-dev-015,hayır blender dedim mikser değil demek istedim,kahve makinesi,mixer,,blender,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,CORRECTION_X_NOT_Y,
